id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,classe
20251128_072755.jpg,57534.0,1232.2884466648102,0.4761126050004146,0.324853228962818,2.1003434681153403,0.2595551762327851,0.041762085862672015,1.0370325388112007e-05,9.84212377039792e-07,-1.537984169581163e-12,-1.4555594619500856e-07,2.7425308191119556e-12,390383.58757637336,69353.19073813123,2419.6266531460024,1
20251128_072755.jpg_aug0,57521.5,1281.727045416832,0.43999624485360583,0.34980237154150196,2.272746669310137,0.25947363742758306,0.041719237284988574,1.03985278394765e-05,9.941982378470677e-07,-1.4873982513802632e-12,-1.4389735190267484e-07,2.8295287508591867e-12,398512.4713180254,71957.02413451548,2690.9928074247678,1
20251128_072755.jpg_aug1,57513.0,1293.224519252777,0.432143540407625,0.36127744510978044,2.3140459280190493,0.2595488466655404,0.04175688445704028,1.0590661434016845e-05,1.0136529591078252e-06,-1.5324670066291019e-12,-1.4622403759765996e-07,2.9465127295352706e-12,399150.94476776576,72118.16703316222,2722.0993553389276,1
20251128_072755.jpg_aug2,57522.0,1276.312831878662,0.44374101311323605,0.3379174852652259,2.2535667663083805,0.25956796896215045,0.041766300341317814,1.0370553851631662e-05,1.002026988329785e-06,-1.4031215602757043e-12,-1.4124997387683499e-07,-2.9094663819841335e-12,398225.68252939184,71255.46200672886,2798.5876195572305,1
20251128_072755.jpg_aug3,57304.0,1414.2194669246674,0.36004864432325934,0.43415637860082307,2.77740248648785,0.2578992089673517,0.040886971380813236,1.0142410241520491e-05,8.766538754582193e-07,-1.905509185758455e-12,-1.3718137562999e-07,1.789485549342025e-12,426369.40281403874,86426.08419233536,3247.6336131132957,1
20251128_072755.jpg_aug4,57507.5,1313.550420165062,0.4188329654662096,0.3714859437751004,2.387586657336975,0.2595290414610417,0.041746572479814836,1.0459257349362572e-05,9.879256198456745e-07,-1.601893528765157e-12,-1.4779905157626845e-07,2.742058259404663e-12,400399.59245234006,72716.44235331059,2758.445145596619,1
20251128_072829.jpg,50107.0,1323.9453008174896,0.3592263458694649,0.28515625,2.7837601876878444,0.31618839090265566,0.07240558921999614,0.001131812682865377,0.00013661217731027715,-7.666469425023796e-09,-1.9256093594694833e-05,-5.316831330977143e-08,420167.06792060705,78001.34876141598,3445.3921340898182,1
20251128_072829.jpg_aug0,50218.5,1291.3838995695114,0.3784102271846393,0.3702213279678068,2.6426347074178462,0.3149921466863639,0.07175608383956708,0.0010927965235751611,0.00012541472460052177,-1.1990279269376326e-08,-2.015408664283456e-05,-4.485438858260107e-08,397872.7991770737,78124.02814910041,13150.272192854254,1
20251128_072829.jpg_aug1,50141.5,1347.751430630684,0.3468866473202518,0.40816326530612246,2.8827860850947733,0.3156503194402576,0.0720937616260465,0.001121581850403175,0.00013290119591347437,-9.463732458353978e-09,-1.968379071576776e-05,-5.043051037344379e-08,408104.0197608938,80093.49199516549,4450.080694998351,1
20251128_072829.jpg_aug2,50066.0,1355.3077795505524,0.3425128714002893,0.36926147704590817,2.919598308559085,0.31510572494208533,0.0718450705835974,0.0010710050762614805,0.00012243940357899654,-1.19736408818765e-08,-1.9847850088534384e-05,4.2690789518641566e-08,430874.00820309395,78062.71509780292,4919.565810021271,1
20251128_072829.jpg_aug3,50051.5,1391.0062638521194,0.3250639363432651,0.41295546558704455,3.076317881489036,0.31536199971904366,0.0719821574457473,0.0010835960120542255,0.00012541321110133932,-1.1104645069784287e-08,-1.9699793705527784e-05,4.487920722154808e-08,441845.3929238145,80120.622719196,3456.597283966107,1
20251128_072829.jpg_aug4,50107.0,1323.9453008174896,0.3592263458694649,0.28515625,2.7837601876878444,0.3161883909026558,0.07240558921999603,0.0011318126828652037,0.00013661217731027723,-7.6664694250238e-09,-1.9256093594694755e-05,5.316831330976732e-08,440518.6192852693,78001.34876141597,3445.392134089826,1
20251128_072852.jpg,56606.0,1263.6854152679443,0.4454453039193167,0.330078125,2.2449445334844738,0.2704603786075448,0.04710356908515286,0.00021846668602008753,0.0001026702681168085,1.524865861445725e-08,2.1236604123388784e-05,-1.979271795308774e-09,393649.11660259066,70417.62553224195,7953.969399867171,1
20251128_072852.jpg_aug0,56576.0,1325.9940712451935,0.4043513882371134,0.35671342685370744,2.473096492532865,0.2704757156983987,0.04711218060507819,0.00021655276048949772,0.00010156187527097983,1.4934225333253376e-08,2.098833865030364e-05,1.956484729009971e-09,402513.8572645667,73188.67350676002,8925.696523628703,1
20251128_072852.jpg_aug1,56587.0,1333.9940712451935,0.3995937945658929,0.3838383838383838,2.502541364753602,0.2703886349627011,0.04706294935772187,0.00021671552603132448,0.00010171693117477521,1.4974643226311962e-08,2.1019883752459132e-05,-1.957270048451784e-09,408175.16226492764,75006.81204103582,8517.937879085579,1
20251128_072852.jpg_aug2,56606.0,1263.6854152679443,0.4454453039193167,0.330078125,2.2449445334844738,0.2704603786075448,0.04710356908515286,0.0002184666860200415,0.00010267026811681753,1.5248658614457797e-08,2.1236604123391027e-05,1.979271795307735e-09,391275.92315653665,70417.62553224199,7953.969399867173,1
